Date		TlstrA/C	Amount
20091118	client_id		$ jm 250
20091118	client_id		$ jm 1250
20091118	client_id		$ jm 250
20091118	client_id		$ jm 2000
20091118	client_id		$ jm 2000
20091118	client_id		$ jm 2000
20091117	5459464564		$ usd 500.00
20091117	5459464564		$ usd 500.00
20091117	5459464564		$ jm 500.00
20091117	5459464564		$ jm 500.00
20091117	5459464564		$ jm 500.00
20091117	5459464564		$ jm 500.00
20091117	5459464564		$ jm 1200.54
20091117	5459464564		$ jm 5200.54
20091117	5459464564		$ jm 200.54
